DateTime	Latitude	Longitude	Depth	Magnitude
2014-02-10	39.6749	143.3822	33.59	4.4
2014-02-10	34.1564	139.9465	93.59	5.3
2014-02-11	33.1467	140.7949	65.82	4.5
2014-02-11	41.9392	142.3815	66.28	4.8
2014-02-11	34.2455	140.732	89.59	4.4
2014-02-12	28.0003	130.0121	41.04	4.7
2014-02-12	29.3809	130.4875	37.41	4.6
2014-02-12	45.1985	143.3341	283.42	4.4
2014-02-13	29.3108	142.0763	39.23	4.6
2014-02-14	32.4228	131.5758	138.13	4.3
2014-02-14	36.7303	141.3711	33.74	4.6
2014-02-15	38.6601	142.403	49.33	4.3
2014-02-16	28.1976	139.4299	420.33	4.2
2014-02-16	36.5079	142.9495	36.17	4.7
2014-02-18	38.2412	141.9008	92.19	4.3
2014-02-18	36.098	139.8035	62.49	4.6
2014-02-18	33.7552	135.9123	41.69	4.8
2014-02-18	38.3276	142.3725	47.82	4.7
2014-02-19	26.1977	128.225	26.98	4.8
2014-02-19	35.6983	140.6942	53.45	4.6
2014-02-20	42.8743	132.1616	519.08	4.5
2014-02-20	45.8465	142.6099	326.24	4.8
2014-02-21	35.978	140.5297	52.12	4.5
2014-02-21	37.4506	142.1832	41.02	4.3
2014-02-21	40.1303	142.6055	47.7	4.5
2014-02-22	38.8087	141.7673	57.22	4.2
2014-02-22	24.5455	123.509	68.28	4.7
2014-02-22	38.0228	144.2268	27.07	4.5
2014-02-24	37.5238	141.7949	19.74	4.4
2014-02-24	26.4516	126.072	125.46	4.4
2014-02-24	31.2382	130.4475	159.81	4.6
2014-02-25	31.7323	141.8258	26.91	4.2
2014-02-26	38.6325	138.8665	198.27	4.4
2014-02-27	24.7666	141.0705	210.79	4.7
2014-02-28	41.1185	142.9483	50.29	4.3
2014-02-28	36.9087	140.0917	125.47	4.4
2014-03-01	44.6793	141.9609	244.62	4.6
2014-03-01	39.7651	142.4167	50.74	4.2
2014-03-02	39.1858	142.5805	59.67	4.2
2014-03-02	26.3336	124.8294	204.38	4.3
2014-03-02	30.5281	141.8492	18.78	4.1
2014-03-02	27.4312	127.3674	119	6.5
2014-03-02	30.8603	142.4238	31.55	4.8
2014-03-03	26.2886	127.3545	58.48	5.2
2014-03-03	33.546	141.8087	25.54	4.6
2014-03-03	36.4278	137.9904	224.63	4.3
2014-03-03	40.9023	141.2243	104.66	4.6
